category,id,title,steps,pearls,has_meds
black,black_193,Non-EMS System Medical Interveners,3,0,False
blue,blue_023,Pre-Intubation Checklist,7,0,False
blue,blue_024,Airway Algorithm,0,0,False
blue,blue_025,Confirmation and Monitoring of Advanced Airways,5,0,False
blue,blue_026,Failed Intubation Algorithm,0,0,False
blue,blue_027,Post Intubation / BIAD Pain Control,4,0,True
blue,blue_028_029_030,Respiratory Distress with Bronchospasm,12,2,True
blue,blue_031,Anxiolysis in CPAP,3,0,True
blue,blue_032,Pulmonary Edema (without shock),13,0,True
blue,blue_033,Pulmonary Hypertension Complications,4,1,False
blue,blue_034_035,Surgical Cricothyrotomy,20,0,False
blue,blue_036_037,Tracheostomy Care,18,2,True
brown,brown_009_010_011_012_013_014,Foreword,2,0,False
gold,gold_075_076_077_078,Allergy / Anaphylaxis,18,1,True
gold,gold_079,Altered Level of Consciousness,9,0,True
gold,gold_080_081,Diabetic/Hypoglycemic Emergencies,10,1,True
gold,gold_082_083,Seizure,13,3,True
gold,gold_084_085_086_087,Stroke,11,2,True
gold,gold_088_089_090,Medical Shock,8,3,True
gold,gold_091,Abdominal Pain,7,0,True
gold,gold_092,Nausea and Vomiting,7,1,True
gold,gold_093_094,Fever,6,2,True
green,green_095_096,Trauma Triage,0,1,False
green,green_097_098_099,Spine Assessment & Management,3,1,False
green,green_100,Glasgow Coma Scale,0,0,False
green,green_101,Chest Trauma,11,1,False
green,green_102_103_104_105,Head Trauma,17,4,False
green,green_106,Hemorrhage,8,0,False
green,green_107_108_109,Hemorrhagic Shock,11,2,True
green,green_110_111,Burn,11,1,True
green,green_112_113_114_115,Universal Pain Management,14,1,True
green,green_116,Termination of Resuscitation for Traumatic Cardiac Arrest,5,1,False
green,green_117,Crush Injury,8,1,True
green,green_118,Facial / Dental Injury,7,0,False
green,green_119,Ophthalmology,8,1,False
green,green_120,Open Fractures,10,1,True
green,green_121,Strangulation,7,1,False
grey,grey_158_159,Minimum Landing Zone,0,0,False
grey,grey_160_161_162_163_164,Do Not Resuscitate Guidelines,6,1,False
grey,grey_165_166_167,Pre-hospital Management of Hospice Patients,10,1,True
grey,grey_168_169,Death Situations for Emergency Responders,0,0,False
grey,grey_170,Maine Death With Dignity Law,0,1,False
grey,grey_171,Bariatric Patients,0,1,False
grey,grey_172_173_174,Mass Casualty / Disasters/Hazmat,9,0,False
grey,grey_175,Sexual Assault Victim,13,0,False
grey,grey_176_177,Child Abuse Management and Reporting,16,0,False
grey,grey_178,"Adult Abuse, and Intoxicated Drivers",0,0,False
grey,grey_179_180,Transport Protocol,8,0,False
grey,grey_181,Protective Headgear Removal,0,0,False
grey,grey_182,Crime Scenes,0,0,False
grey,grey_183,Defibrillation / Cardioversion Settings,0,0,False
grey,grey_184,Baby Safe Haven Laws,5,0,False
grey,grey_185,Safe Response & Transport,11,0,False
grey,grey_186_187,Care of the Deaf and Hard of Hearing,6,0,False
grey,grey_188,Care of the Visually Impaired and Blind,9,0,False
grey,grey_189,Maine EMS Medication List,0,0,False
grey,grey_190_191_192,Telephone / Radio Reference/ Contact Numbers,0,0,False
lavender,lavender_145,Obstetric Emergencies,16,1,False
lavender,lavender_146_147,Child Birth,13,0,False
lavender,lavender_148,Newborn Metrics / APGAR & O2 Saturation,0,0,False
lavender,lavender_149,Newborn Resuscitation,0,1,False
od-green,od-green_195,Operational K9 Protocols Intro,0,0,False
od-green,od-green_196_197,Operational K9 Restraint,9,0,False
od-green,od-green_198_199,Operational K9 Airway Obstruction,8,0,False
od-green,od-green_200_201,Operational K9 Airway Management,6,0,False
